Model,Class,Precision,Recall,F1,Support,ROC-AUC
efficientnetv2,common_nevus,0.55,0.9166666666666666,0.6875,12.0,0.7862654320987654
efficientnetv2,atypical_nevus,0.4,0.16666666666666666,0.23529411764705882,12.0,0.7862654320987654
efficientnetv2,melanoma,0.6,0.5,0.5454545454545454,6.0,0.7862654320987654
densenet121,common_nevus,0.5555555555555556,0.8333333333333334,0.6666666666666666,12.0,0.8433641975308642
densenet121,atypical_nevus,0.6666666666666666,0.5,0.5714285714285714,12.0,0.8433641975308642
densenet121,melanoma,1.0,0.5,0.6666666666666666,6.0,0.8433641975308642
resnet101,common_nevus,0.5833333333333334,0.5833333333333334,0.5833333333333334,12.0,0.7268518518518517
resnet101,atypical_nevus,0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0,0.7268518518518517
resnet101,melanoma,1.0,0.5,0.6666666666666666,6.0,0.7268518518518517
convnext,common_nevus,0.6666666666666666,0.5,0.5714285714285714,12.0,0.7523148148148149
convnext,atypical_nevus,0.5,0.75,0.6,12.0,0.7523148148148149
convnext,melanoma,1.0,0.5,0.6666666666666666,6.0,0.7523148148148149
swin,common_nevus,0.7692307692307693,0.8333333333333334,0.8,12.0,0.8641975308641975
swin,atypical_nevus,0.6428571428571429,0.75,0.6923076923076923,12.0,0.8641975308641975
swin,melanoma,1.0,0.5,0.6666666666666666,6.0,0.8641975308641975
