Dataset,Model,Accuracy,Precision,Sensitivity,F1,ROC-AUC
HAM10000,EfficientNetV2,0.6891891891891891,0.5708996667900778,0.6891891891891891,0.5733538416465246,0.7539274374890813
HAM10000,densenet121,0.6756756756756757,0.6360665750496258,0.6756756756756757,0.639251428242254,0.8258102525225813
HAM10000,resnet101,0.7027027027027027,0.6379901027788352,0.7027027027027027,0.6040552949643859,0.7250235469413551
HAM10000,convnext,0.6891891891891891,0.5232732732732732,0.6891891891891891,0.5754541426672575,0.8083409931012671
HAM10000,swin,0.6756756756756757,0.567942942942943,0.6756756756756757,0.5667798946487471,0.7910671212041075
ISIC2018,efficientnetv2,0.4548611111111111,0.4514040835096356,0.4782865873622176,0.4273568610649821,0.8296816560507947
ISIC2018,densenet121,0.5034722222222222,0.5058343876387392,0.5516805163623891,0.4978272984861733,0.8794537492685848
ISIC2018,resnet101,0.4791666666666667,0.498610631742778,0.4956770240563758,0.4693546996356225,0.8517554294163164
ISIC2018,convnext,0.5694444444444444,0.5998489310458427,0.6277928314182816,0.5811731016065381,0.8934395479498922
ISIC2018,swin,0.5520833333333334,0.5561953517039001,0.5952002619229511,0.5417907911324269,0.9005992688079975
PH2,efficientnetv2,0.5333333333333333,0.5166666666666667,0.5277777777777778,0.4894162210338681,0.7862654320987654
PH2,densenet121,0.6333333333333333,0.7407407407407408,0.6111111111111112,0.6349206349206349,0.8433641975308642
PH2,resnet101,0.5666666666666667,0.6833333333333332,0.5555555555555556,0.5895061728395062,0.7268518518518517
PH2,convnext,0.6,0.7222222222222222,0.5833333333333334,0.6126984126984126,0.7523148148148149
PH2,swin,0.7333333333333333,0.8040293040293042,0.6944444444444445,0.7196581196581197,0.8641975308641975
